model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
BMW 335Ci,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7,17,26,20,5,no
BMW 335Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,17,26,20,5,no
BMW 335Ci,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,6,16,25,19,4,no
BMW 335Ci,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 335Ci,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 335Ci,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 335Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7,17,26,20,5,no
BMW 335Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,17,26,20,5,no
BMW 335Ci Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 335Ci Convertible,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 335d,3.0,6.0,SemiAuto-6,2WD,Diesel,FA,small car,6,23,36,27,6,no
BMW 335d,3.0,6.0,SemiAuto-6,2WD,Diesel,CA,small car,6,23,36,27,6,no
BMW 335i,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,7,16,25,19,4,no
BMW 335i,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,small car,7,17,25,20,5,no
BMW 335i,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,7,17,26,20,5,no
BMW 335i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,17,26,20,5,no
BMW 335i,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,6,16,25,19,4,no
BMW 335i,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,small car,6,17,25,20,5,no
BMW 335i,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 335i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,small car,6,17,26,20,5,no
BMW 528i,3.0,6.0,Man-6,4WD,Gasoline,CA,midsize car,7,17,25,20,5,no
BMW 528i,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,7,17,25,20,5,no
BMW 528i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,midsize car,7,18,27,21,5,no
BMW 528i,3.0,6.0,Man-6,2WD,Gasoline,CA,midsize car,7,18,28,22,6,yes
BMW 528i,3.0,6.0,Man-6,4WD,Gasoline,FA,midsize car,6,17,25,20,5,no
BMW 528i,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6,17,25,20,5,no
BMW 528i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,midsize car,6,18,27,21,5,no
BMW 528i,3.0,6.0,Man-6,2WD,Gasoline,FA,midsize car,6,18,28,22,6,no
BMW 535i,3.0,6.0,Man-6,4WD,Gasoline,FA,midsize car,6,16,25,19,4,no
BMW 535i,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,midsize car,6,17,25,20,5,no
BMW 535i,3.0,6.0,SemiAuto-6,2WD,Gasoline,FA,midsize car,6,17,26,20,5,no
BMW 535i,3.0,6.0,Man-6,2WD,Gasoline,FA,midsize car,6,17,26,20,5,no
BMW 535i,3.0,6.0,Man-6,4WD,Gasoline,CA,midsize car,6,16,25,19,4,no
BMW 535i,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,midsize car,6,17,25,20,5,no
BMW 535i,3.0,6.0,SemiAuto-6,2WD,Gasoline,CA,midsize car,6,17,26,20,5,no
BMW 535i,3.0,6.0,Man-6,2WD,Gasoline,CA,midsize car,6,17,26,20,5,no
BMW 535i Gran Turismo,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,large car,7,19,28,22,6,yes
BMW 535i Gran Turismo,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,large car,6,19,28,22,6,no
BMW 535i Sport Wagon,3.0,6.0,Man-6,4WD,Gasoline,FA,station wagon,6,16,23,18,4,no
BMW 535i Sport Wagon,3.0,6.0,SemiAuto-6,4WD,Gasoline,FA,station wagon,6,16,24,19,4,no
BMW 535i Sport Wagon,3.0,6.0,Man-6,4WD,Gasoline,CA,station wagon,6,16,23,18,4,no
BMW 535i Sport Wagon,3.0,6.0,SemiAuto-6,4WD,Gasoline,CA,station wagon,6,16,24,19,4,no
BMW 550 GT,4.4,8.0,SemiAuto-8,2WD,Gasoline,CA,large car,7,15,22,18,4,no
BMW 550 GT,4.4,8.0,SemiAuto-8,2WD,Gasoline,FA,large car,6,15,22,18,4,no
BMW 550i,4.8,8.0,Man-6,2WD,Gasoline,FA,midsize car,7,15,22,18,4,no
BMW 550i,4.8,8.0,SemiAuto-6,2WD,Gasoline,FA,midsize car,7,15,23,18,4,no
BMW 550i,4.8,8.0,Man-6,2WD,Gasoline,CA,midsize car,7,15,22,18,4,no
BMW 550i,4.8,8.0,SemiAuto-6,2WD,Gasoline,CA,midsize car,7,15,23,18,4,no
BMW 550i GT,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,large car,7,15,22,18,4,no
BMW 550i GT,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,large car,6,15,22,18,4,no
BMW 650ci,4.8,8.0,Man-6,2WD,Gasoline,FA,small car,7,15,22,18,4,no
BMW 650ci,4.8,8.0,SemiAuto-6,2WD,Gasoline,FA,small car,7,15,23,18,4,no
BMW 650ci,4.8,8.0,Man-6,2WD,Gasoline,CA,small car,7,15,22,18,4,no
